1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
;;9347.0;9105.0;8420.0;7436.0;6829.0;7850.0;7181.0;8270.0;8477.0;7324.0;7044.0;9693.0;6887.0;9166.0;7641.0;6236.0;8980.0;7515.0;;7420.0;;6996.0;7438.0;6968.0;8747.0;;8288.0;7791.0;9280.0
;;9369.0;9138.0;8495.0;7461.0;6862.0;8008.0;7318.0;8461.0;8629.0;7441.0;7120.0;9819.0;6956.0;9205.0;7784.0;6282.0;9101.0;7613.0;;7441.0;;7066.0;7497.0;7001.0;8868.0;;8404.0;7911.0;9377.0
;;9464.0;9202.0;8615.0;7695.0;7047.0;8135.0;7473.0;8562.0;8653.0;7540.0;7170.0;10041.0;7115.0;9246.0;8131.0;6376.0;9199.0;7699.0;;7520.0;;7086.0;7661.0;7082.0;8905.0;;8504.0;7987.0;9459.0
;;9583.0;9370.0;8644.0;7829.0;7131.0;8264.0;7518.0;8666.0;8712.0;7703.0;7234.0;10156.0;7189.0;9267.0;8151.0;6467.0;9256.0;7919.0;;7664.0;;7138.0;7681.0;7263.0;9082.0;;8668.0;8028.0;9580.0
;;9675.0;9417.0;8786.0;8006.0;7178.0;8456.0;7576.0;8916.0;8780.0;7799.0;7272.0;;7405.0;9367.0;8192.0;6581.0;9340.0;8047.0;;7754.0;;7167.0;7750.0;7308.0;9226.0;;8741.0;8075.0;9720.0
;;9701.0;9462.0;8810.0;8032.0;7312.0;8645.0;7634.0;9016.0;9090.0;7831.0;7385.0;;7524.0;9404.0;8286.0;6670.0;9552.0;8117.0;;7833.0;;7268.0;7849.0;7652.0;9328.0;;8878.0;8166.0;9894.0
;;9727.0;9552.0;8922.0;8111.0;7341.0;8672.0;7662.0;9099.0;9123.0;8011.0;7507.0;;7565.0;9460.0;8381.0;6713.0;9838.0;8161.0;;7853.0;;7377.0;7926.0;7841.0;9399.0;;8980.0;8285.0;10008.0
;;9886.0;9578.0;9014.0;8136.0;7445.0;8760.0;7691.0;9119.0;9260.0;8052.0;7662.0;;7727.0;9505.0;8467.0;6804.0;9859.0;8285.0;;7915.0;;7429.0;8040.0;7919.0;9523.0;;9105.0;8323.0;10155.0
;;9980.0;9840.0;9079.0;8255.0;7664.0;8805.0;7766.0;9162.0;9287.0;8136.0;7689.0;;7878.0;9529.0;8492.0;7009.0;9947.0;8326.0;;8012.0;;7504.0;8143.0;7983.0;9666.0;;9202.0;8448.0;
;;10146.0;9889.0;9225.0;8358.0;7717.0;8878.0;7795.0;9267.0;9342.0;8194.0;8138.0;;7961.0;9583.0;8522.0;7087.0;9984.0;8375.0;;8235.0;;7640.0;8251.0;8178.0;9736.0;;9444.0;8514.0;
;;;10114.0;9365.0;8474.0;7849.0;8907.0;7824.0;9353.0;9440.0;8438.0;8221.0;;8034.0;9629.0;8882.0;7178.0;10185.0;8471.0;;8374.0;;7660.0;8470.0;8334.0;9830.0;;9564.0;8539.0;
;;;10141.0;9411.0;8649.0;8015.0;9076.0;7938.0;9400.0;9460.0;8476.0;8285.0;;8071.0;9693.0;8983.0;7205.0;;8649.0;;8539.0;;7689.0;8665.0;8755.0;9958.0;;9695.0;8613.0;
;;;;9441.0;8675.0;8077.0;9111.0;7967.0;9464.0;9510.0;8566.0;8324.0;;8159.0;9759.0;9081.0;7262.0;;8687.0;;8661.0;;7774.0;8763.0;8876.0;9987.0;;9823.0;8669.0;
;;;;9571.0;8943.0;8229.0;9230.0;8051.0;9584.0;9568.0;8653.0;8468.0;;8290.0;9884.0;9130.0;7283.0;;8902.0;;8746.0;;7854.0;8884.0;8986.0;10090.0;;9951.0;8856.0;
;;;;9696.0;8968.0;8372.0;9344.0;8132.0;9622.0;9672.0;8705.0;8568.0;;8334.0;9991.0;9227.0;7312.0;;8923.0;;8767.0;;7923.0;8994.0;9158.0;;;10045.0;8906.0;
;;;;9829.0;9112.0;8487.0;9373.0;8190.0;9717.0;9729.0;8774.0;8741.0;;8370.0;10222.0;9369.0;7393.0;;9103.0;;8870.0;;7987.0;9081.0;9233.0;;;10168.0;8975.0;
;;;;9882.0;9285.0;8671.0;9407.0;8456.0;9785.0;9870.0;8912.0;8766.0;;8390.0;;9571.0;7428.0;;9241.0;;8977.0;;8032.0;9166.0;9332.0;;;;9085.0;
;;;;10090.0;9442.0;8769.0;9524.0;8483.0;9838.0;9956.0;9019.0;8798.0;;8469.0;;9633.0;7773.0;;9263.0;;9076.0;;8076.0;9220.0;9404.0;;;;9202.0;
;;;;10132.0;9559.0;8802.0;9556.0;8505.0;9951.0;9995.0;9206.0;8866.0;;8558.0;;9722.0;8182.0;;9288.0;;9170.0;;8122.0;9321.0;9515.0;;;;9222.0;
;;;;10176.0;9704.0;8824.0;9827.0;8574.0;9987.0;10100.0;9263.0;8906.0;;8661.0;;9848.0;8290.0;;9457.0;;9224.0;;8166.0;9523.0;9536.0;;;;9308.0;
;;;;;9833.0;8964.0;9972.0;8768.0;10130.0;10130.0;9284.0;8962.0;;8741.0;;9947.0;8442.0;;9566.0;;9320.0;;8247.0;9544.0;9625.0;;;;9339.0;
