MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14
-0.0007331406245314622;-0.0037703051598564734;0.004778706067653217;-0.006053096969447442;-0.0034109612249980264;-0.011942348668889118;-0.0036792263732286054;0.008736048386245846;-0.009942834582602124;0.012927491077475728;0.009280990553601681;0.007388060811007045;0.003934836669402192;0.003345424341325221
-0.0007372886317127687;-0.003797393825557919;0.0047385868993532945;-0.005971538853474718;-0.0034020197430351144;-0.011983682134142885;-0.003673448950853632;0.008756037675326503;-0.009831332667309548;0.012881864205637961;0.00921760113720632;0.007398054719183771;0.003915210698000809;0.0033574065258479323
-0.0007456417985936512;-0.0038448551506789857;0.004684279932825913;-0.005894266205836871;-0.0033874251413835875;-0.012002291274813167;-0.003663695141583236;0.008752560718719075;-0.009710001718949875;0.012823167209323716;0.009133397042545725;0.007403285685444977;0.003881123297488794;0.003355910417259921
-0.0007584971099642637;-0.003911607277593845;0.004616798171950496;-0.005822772914837911;-0.0033674583755280998;-0.011997432051402626;-0.0036500652458207965;0.008725729741408762;-0.009581306957737188;0.012752641275059427;0.009030255576969489;0.007403569891486839;0.003832930042538501;0.003341120787947967
-0.0007760390052004557;-0.003995977941613462;0.00453734308362229;-0.005758227239234732;-0.0033424440541679526;-0.011968584666394173;-0.003632643745036363;0.008675980711465948;-0.009447621272673262;0.012671430290493552;0.008910244810929197;0.007398648741718833;0.003771218729267788;0.0033134465461533156
-0.0007983340976041657;-0.004095746047671245;0.004447282668888154;-0.00570145335351397;-0.003312742479876062;-0.011915473263907727;-0.003611501668189958;0.008604075351611116;-0.009311180403799564;0.012580570755420559;0.008775584707982008;0.0073881983355151394;0.00369678875503308;0.0032735029584656603
-0.0008253287388036756;-0.00420819620734613;0.004348125118137564;-0.005652919698986091;-0.003278741979392153;-0.011838081359692564;-0.0035866985515402945;0.008511093263514579;-0.00917403692102403;0.012480984414343862;0.008628603212156413;0.007371839724262526;0.0036106357324092665;0.003222096405089552
-0.0008568498828084709;-0.004330185100784251;0.004241487565285687;-0.005612732121366102;-0.003240853705078724;-0.011736665245919225;-0.0035582834215563764;0.008398411643762394;-0.009038012877304972;0.012373470408748035;0.008471687848252944;0.00734915165429792;0.0035139483173876433;0.003160219616569594
-0.0008926095292383527;-0.004458218290613137;0.004129059963492415;-0.005580630727155755;-0.003199510040633415;-0.011611766433987652;-0.00352629482307342;0.008267672183921958;-0.008904654260410825;0.012258693837969771;0.008307234524745797;0.007319687852395318;0.0034081159465477627;0.0030890591040618333
-0.0009322125666209298;-0.004588535825930898;0.004012565379337958;-0.005555991979594939;-0.003155165278270398;-0.011464221165720453;-0.003490760846964495;0.00812073869302905;-0.008775194178919104;0.012137170249893916;0.008137596588923816;0.0072829997648138104;0.0032947336771515165;0.003010005116770762
-0.0009751671979023872;-0.004717204614805153;0.0038937196709297847;-0.0055378408174966;-0.003108294241660239;-0.011295161244386235;-0.00345170091767018;0.007959653192367829;-0.008650533612968615;0.01200925043656686;0.00796503795711377;0.007238662856127346;0.0031755800835832227;0.002924642971064654
-0.0010208966142414152;-0.004840215158150451;0.003774194660732115;-0.005524879429989858;-0.0030593828629546906;-0.011105998291837211;-0.0034091311041611707;0.007786599919447991;-0.008531245813472102;0.011875114835299445;0.0077916934019444835;0.007186301060414764;0.0030525452307700275;0.002834701398969276
