1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
18098.0;9530.0;9556.0;8650.0;9379.0;7840.0;10428.0;9689.0;7988.0;7971.0;8674.0;8647.0;8849.0;8125.0;9536.0;8479.0;9495.0;8503.0;8276.0
18142.0;9562.0;9615.0;8700.0;9444.0;7887.0;10514.0;9729.0;8251.0;8003.0;8835.0;8708.0;8938.0;8170.0;9569.0;8501.0;9549.0;8628.0;8482.0
18263.0;9681.0;9704.0;8763.0;9564.0;7954.0;10752.0;10036.0;8311.0;8032.0;8947.0;8960.0;9041.0;8254.0;9632.0;8568.0;9608.0;8745.0;8553.0
18560.0;9785.0;9728.0;8823.0;9631.0;8123.0;10805.0;10171.0;8389.0;8076.0;9186.0;9032.0;9115.0;8383.0;9695.0;8592.0;9634.0;9007.0;8603.0
18749.0;9843.0;9762.0;8888.0;9705.0;8213.0;10913.0;10227.0;8491.0;8108.0;9336.0;9103.0;9306.0;8587.0;9937.0;8663.0;9731.0;9069.0;8624.0
18803.0;9973.0;9782.0;8962.0;9759.0;8353.0;10961.0;10268.0;8525.0;8214.0;9541.0;9132.0;9404.0;8779.0;10092.0;8800.0;9829.0;9110.0;8664.0
18902.0;10214.0;9963.0;8988.0;9786.0;8454.0;11068.0;10315.0;8619.0;8235.0;9622.0;9192.0;9426.0;8808.0;10269.0;8820.0;9930.0;9263.0;8727.0
19062.0;10244.0;9984.0;9061.0;9888.0;8489.0;11122.0;10483.0;8670.0;8442.0;9672.0;9239.0;9581.0;8855.0;10303.0;8903.0;10202.0;9300.0;8788.0
19247.0;10350.0;10283.0;9122.0;10032.0;8593.0;11178.0;10532.0;8890.0;8613.0;9706.0;9279.0;9607.0;8922.0;10447.0;8946.0;10264.0;9327.0;8809.0
19497.0;10396.0;10332.0;9251.0;10059.0;8620.0;11202.0;10639.0;8949.0;8878.0;9802.0;9304.0;9643.0;8948.0;10532.0;9022.0;10316.0;9586.0;9009.0
19690.0;10447.0;10401.0;9379.0;10106.0;8687.0;11408.0;10904.0;8980.0;8904.0;9827.0;9365.0;9677.0;8974.0;10568.0;9471.0;10461.0;9611.0;9033.0
19817.0;10531.0;10522.0;9419.0;10274.0;8826.0;11462.0;10947.0;9011.0;8951.0;9876.0;9389.0;9801.0;9030.0;10653.0;9517.0;10483.0;9665.0;9076.0
20143.0;10665.0;10559.0;9654.0;10572.0;8875.0;11629.0;11018.0;9091.0;8984.0;9925.0;9427.0;9873.0;9074.0;10697.0;9584.0;10517.0;9755.0;9105.0
20266.0;10789.0;10743.0;9697.0;10615.0;9029.0;11669.0;11064.0;9124.0;9091.0;9964.0;9487.0;9932.0;9116.0;10764.0;9705.0;10644.0;9844.0;9142.0
20298.0;10837.0;10831.0;9717.0;10686.0;9143.0;11748.0;11135.0;9252.0;9156.0;10027.0;9516.0;10029.0;9209.0;10806.0;9780.0;10665.0;9899.0;9241.0
20327.0;10981.0;10852.0;9751.0;10715.0;9172.0;11976.0;11231.0;9286.0;9272.0;10069.0;9574.0;10164.0;9307.0;10990.0;9837.0;10810.0;10044.0;9263.0
20587.0;11099.0;10887.0;9820.0;10759.0;9278.0;12035.0;11353.0;9343.0;9303.0;10132.0;9736.0;10200.0;9379.0;11036.0;9903.0;10836.0;10073.0;9303.0
20622.0;11224.0;10939.0;9913.0;10793.0;9334.0;12072.0;11412.0;9423.0;9412.0;10167.0;9850.0;10307.0;9409.0;11073.0;9954.0;10870.0;10146.0;9376.0
20734.0;11322.0;10995.0;10047.0;10858.0;9395.0;12217.0;11435.0;9464.0;9436.0;10201.0;9923.0;10331.0;9528.0;11114.0;9977.0;11098.0;10193.0;9452.0
20789.0;11467.0;11102.0;10118.0;10893.0;9445.0;12283.0;11472.0;9511.0;9718.0;10304.0;9998.0;10377.0;9565.0;11227.0;10030.0;11122.0;10237.0;9502.0
